ID,Name,Concepticon_ID,Concepticon_Gloss,Category
131_thing,thing,738,THING,thing
132_thirst,thirst,848,THIRST,thing
133_thorn,thorn,124,THORN,thing
134_thread,thread,1161,THREAD,thing
135_today,today,1283,TODAY,thing
136_tomorrow,tomorrow,1329,TOMORROW,thing
137_utensil,utensil,1361,TOOL,thing
138_village,village,930,VILLAGE,thing
139_walkingstick,walking stick,1296,WALKING STICK,thing
140_wall,wall,,,thing
141_war,war,935,WAR,thing
142_water,water,948,WATER,thing
143_what,what,1236,WHAT,thing
144_windnoun,wind [noun],960,WIND,thing
145_year,year,1226,YEAR,thing
146_yesterday,yesterday,1174,YESTERDAY,thing
147_bigknife,big knife,,,thing & adjective
148_branch,branch,1531,BRANCH,thing
149_leaf,leaf,628,LEAF,thing
150_tree,tree,906,TREE,thing
151_sit,sit,1416,SIT,verb
152_brother,brother,1262,BROTHER,person
153_brotheryounger,brother - younger,1760,YOUNGER BROTHER,
154_brotherolder,brother - older,1759,OLDER BROTHER,
155_chief,chief,301,CHIEFTAIN,person
156_child,child,2099,CHILD,person
157_daughter,daughter,1357,DAUGHTER,person
158_enemy,enemy,1358,ENEMY,person
159_father,father,1217,FATHER,person
160_god,God,1944,GOD,person
161_husband,husband,1200,HUSBAND,person
162_man,man,1554,MAN,person
163_mother,mother,1216,MOTHER,person
164_mothersbrother,mother’s brother,2692,MATERNAL UNCLE (MOTHER'S BROTHER),person
165_person,person,683,PERSON,person
166_son,son,1620,SON,person
167_twins,twins,1005,TWINS,person
168_who,who,1235,WHO,person
169_wife,wife,1199,WIFE,person
170_woman,woman,962,WOMAN,person
171_bad,bad,1292,BAD,adjective
172_big,big,1202,BIG,adjective
173_black,black,163,BLACK,adjective
174_cold,cold,1287,COLD,adjective
175_difficult,difficult,584,DIFFICULT,adjective
176_dirty,dirty,1230,DIRTY,adjective
177_dry,dry,1398,DRY,adjective
178_dull,dull,379,BLUNT,adjective
179_easy,easy,686,EASY,adjective
180_full,full,1429,FULL,adjective
181_good,good,1035,GOOD,adjective
182_heavy,heavy,1210,HEAVY,adjective
183_hot,hot,1286,HOT,adjective
184_long,long,1203,LONG,adjective
185_narrow,narrow,1267,NARROW,adjective
186_new,new,1231,NEW,adjective
187_red,red,156,RED,adjective
188_rotten,rotten,1728,ROTTEN,adjective
189_sharp,sharp,1396,SHARP,adjective
190_short,short,1645,SHORT,adjective
191_small,small,1246,SMALL,adjective
192_wet,wet,1726,WET,adjective
193_white,white,1335,WHITE,adjective
194_wide,wide,1243,WIDE,adjective
195_far,far,1406,FAR,location
196_inside,inside,1606,INSIDE,location
197_near,near,1942,NEAR,location
198_outside,outside,762,OUTSIDE,location
199_leftside,leftside,244,LEFT,location
200_rightside,rightside,1019,RIGHT,location
201_why,why,1270,WHY,concept
