ID,Name,Concepticon_ID,Concepticon_Gloss,Category
1_hand,hand,1277,HAND,Body Part
2_arm,arm,1673,ARM,Body Part
3_armpit,armpit,1886,ARMPIT,Body Part
4_back,back,1291,BACK,Body Part
5_backbone,backbone,805,SPINE,Body Part
6_beard,beard,678,BEARD,Body Part
7_belly,belly,1251,BELLY,Body Part
8_blood,blood,946,BLOOD,Body Part
9_body,body,1480,BODY,Body Part
10_bone,bone,1394,BONE,Body Part
11_breasts,breast(s),1402,BREAST,Body Part
12_cheek,cheek,1730,CHEEK,Body Part
13_chin,chin,1510,CHIN,Body Part
14_ear,ear,1247,EAR,Body Part
15_eye,eye,1248,EYE,Body Part
16_eyebrow,eyebrow,1173,EYEBROW,Body Part
17_eyelash,eyelash,1540,EYELASH,Body Part
18_finger,finger,1303,FINGER,Body Part
19_fingernail,fingernail,1258,FINGERNAIL,Body Part
20_foot,foot,1301,FOOT,Body Part
21_hair,hair,1040,HAIR,Body Part
22_head,head,1256,HEAD,Body Part
23_heart,heart,1223,HEART,Body Part
24_jawbone,jawbone,798,JAW,Body Part
25_knee,knee,1371,KNEE,Body Part
26_leg,leg,1297,LEG,Body Part
27_liver,liver,1224,LIVER,Body Part
28_lung,lung,688,LUNG,Body Part
29_mouth,mouth,674,MOUTH,Body Part
30_neck,neck,1333,NECK,Body Part
31_nose,nose,1221,NOSE,Body Part
32_skin,skin,763,SKIN,Body Part
33_sore,sore,51,SORE,Body Part
34_tail,tail,1220,TAIL,Body Part
35_tongue,tongue,1205,TONGUE,Body Part
36_tooth,tooth,1380,TOOTH,Body Part
37_voice,voice,1363,VOICE,Body Part
38_wing,wing,1257,WING,Body Part
39_one,one,1493,ONE,number
40_two,two,1498,TWO,number
41_three,three,492,THREE,number
42_four,four,1500,FOUR,number
43_five,five,493,FIVE,number
44_six,six,1703,SIX,number
45_seven,seven,1704,SEVEN,number
46_eight,eight,1705,EIGHT,number
47_nine,nine,1483,NINE,number
48_ten,ten,1515,TEN,number
49_few,few,1242,FEW,number
50_many,many,1198,MANY,number
51_bee,bee,665,BEE,animal
52_bird,bird,937,BIRD,animal
53_buffalo,buffalo,934,BUFFALO,animal
54_cat,cat,1208,CAT,animal
55_crocodile,crocodile,1857,CROCODILE,animal
56_dog,dog,2009,DOG,animal
57_elephant,elephant,1290,ELEPHANT,animal
58_fish,fish,227,FISH,animal
59_goat,goat,1502,GOAT,animal
60_headlouse,head louse,310,HEAD LOUSE,animal
61_hippo,hippo,3145,HIPPOPOTAMUS,animal
62_lion,lion,1386,LION,animal
63_rhino,rhino,2591,RHINOCEROS,animal
64_snake,snake,730,SNAKE,animal
65_spider,spider,843,SPIDER,animal
66_wildanimal,wild animal,958,WILD ANIMAL,animal
67_bull,bull,1008,BULL,animal
68_calf,calf,1989,CALF,animal
69_cow,cow,1007,COW,animal
70_chicken,chicken,1318,CHICKEN,animal
71_cock,cock,1511,ROOSTER,animal
72_arrow,arrow,977,ARROW,thing
73_ash,ash,646,ASH,thing
74_axe,axe,677,AXE,thing
75_barkoftree,bark (of tree),1204,BARK,thing
76_burden,burden,1679,LOAD,thing
77_chair,chair,1476,CHAIR,thing
78_cloud,cloud,1489,CLOUD,thing
79_cookingpot,cooking pot,3653,COOKING POT,thing
80_darkness,darkness,11,DARKNESS,thing
81_daytime,day time,1225,DAY (NOT NIGHT),thing
82_dew,dew,1977,DEW,thing
83_dust,dust,2,DUST,thing
84_earth,earth,1228,EARTH (SOIL),thing
85_egg,egg,744,EGG,thing
86_feather,feather,1201,FEATHER,thing
87_field,field,212,FIELD,thing
88_fingermillet,finger millet,3265,FINGER MILLET,thing
89_fire,fire,221,FIRE,thing
90_firewood,firewood,10,FIREWOOD,thing
91_flower,flower,239,FLOWER,thing
92_grass,grass,606,GRASS,thing
93_hardship,hardship,,,thing
94_hoe,hoe,284,HOE,thing
95_hole,hole,1667,HOLE,thing
96_honey,honey,942,HONEY,thing
97_house,house,1252,HOUSE,thing
98_hunger,hunger,1864,HUNGER,thing
99_iron,iron,621,IRON,thing
100_knife,knife,1352,KNIFE,thing
101_knot,knot,760,KNOT,thing
102_lake,lake,624,LAKE,thing
103_light,light,630,LIGHT (RADIATION),thing
104_meat,meat,634,MEAT,thing
105_medicine,medicine,1372,MEDICINE,thing
106_milk,milk,635,MILK,thing
107_month,month,1370,MONTH,thing
108_moon,moon,1313,MOON,thing
109_mountain,mountain,639,MOUNTAIN,thing
110_mourningsadness,mourning - sadness,3673,MOURNING,thing
111_name,name,1405,NAME,thing
112_night,night,1233,NIGHT,thing
113_path,path,2252,PATH,thing
114_porridge,porridge,3651,MUSH (FOOD),thing
115_rain,rain,658,RAIN (PRECIPITATION),thing
116_river,river,666,RIVER,thing
117_root,root,670,ROOT,thing
118_rope,rope,1218,ROPE,thing
119_salt,salt,1274,SALT,thing
120_sand,sand,671,SAND,thing
121_seed,seed,714,SEED,thing
122_shade,shade,1388,SHADE,thing
123_sickness,sickness,1986,DISEASE,thing
124_sky,sky,1732,SKY,thing
125_smoke,smoke,778,SMOKE (EXHAUST),thing
126_spear,spear,945,SPEAR,thing
127_star,star,1430,STAR,thing
128_stone,stone,857,STONE,thing
129_stool,stool,2058,STOOL,thing
130_sun,sun,1343,SUN,thing
