ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Category
Chewa-3_armpit-1,,Chewa,3_armpit,nkwapata,nkwapata,ŋ kʷ a p a t a,,Sawka2019,,,^ nkw a p a t a $,default,Body Part
Nkoya1-3_armpit-1,,Nkoya1,3_armpit,munkwapa,munkwapa,m u ŋ kʷ a p a,,Sawka2019,,,^ m u nkw a p a $,default,Body Part
Nkoya2-3_armpit-1,,Nkoya2,3_armpit,munkwapa,munkwapa,m u ŋ kʷ a p a,,Sawka2019,,,^ m u nkw a p a $,default,Body Part
Tonga-4_back-1,,Tonga,4_back,kunze,kunze,k u ⁿz e,,Sawka2019,,,^ k u nz e $,default,Body Part
MukuniMarch-4_back-1,,MukuniMarch,4_back,kusule,kusule,k u s u l e,,Sawka2019,,,^ k u s u l e $,default,Body Part
Mukuni-4_back-1,,Mukuni,4_back,kusule,kusule,k u s u l e,,Sawka2019,,,^ k u s u l e $,default,Body Part
Sekute2013-4_back-1,,Sekute2013,4_back,Musana,Musana,M/m u s a n a,,Sawka2019,,,^ M u s a n a $,default,Body Part
Sekute-4_back-1,,Sekute,4_back,musana,musana,m u s a n a,,Sawka2019,,,^ m u s a n a $,default,Body Part
Musukotwani-4_back-1,,Musukotwani,4_back,isule,isule,i s u l e,,Sawka2019,,,^ i s u l e $,default,Body Part
Ila-4_back-1,,Ila,4_back,kunze,kunze,k u ⁿz e,,Sawka2019,,,^ k u nz e $,default,Body Part
Lozi-4_back-1,,Lozi,4_back,mukokoto,mukokoto,m u k o k o t o,,Sawka2019,,,^ m u k o k o t o $,default,Body Part
Chewa-4_back-1,,Chewa,4_back,musana,musana,m u s a n a,,Sawka2019,,,^ m u s a n a $,default,Body Part
Nkoya1-4_back-1,,Nkoya1,4_back,mongo,mongo,m o ⁿg o,,Sawka2019,,,^ m o ng o $,default,Body Part
Nkoya2-4_back-1,,Nkoya2,4_back,mongo,mongo,m o ⁿg o,,Sawka2019,,,^ m o ng o $,default,Body Part
Tonga-5_backbone-1,,Tonga,5_backbone,musana,musana,m u s a n a,,Sawka2019,,,^ m u s a n a $,default,Body Part
MukuniMarch-5_backbone-1,,MukuniMarch,5_backbone,mongoola,mongoola,m o ⁿg oː l a,,Sawka2019,,,^ m o ng oo l a $,default,Body Part
Mukuni-5_backbone-1,,Mukuni,5_backbone,mongoola,mongoola,m o ⁿg oː l a,,Sawka2019,,,^ m o ng oo l a $,default,Body Part
Sekute2013-5_backbone-1,,Sekute2013,5_backbone,mungoola,mungoola,m u ⁿg oː l a,,Sawka2019,,,^ m u ng oo l a $,default,Body Part
Sekute-5_backbone-1,,Sekute,5_backbone,musana,musana,m u s a n a,,Sawka2019,,,^ m u s a n a $,default,Body Part
Musukotwani-5_backbone-1,,Musukotwani,5_backbone,musana,musana,m u s a n a,,Sawka2019,,,^ m u s a n a $,default,Body Part
Ila-5_backbone-1,,Ila,5_backbone,moongo,moongo,m oː ⁿg o,,Sawka2019,,,^ m oo ng o $,default,Body Part
Lozi-5_backbone-1,,Lozi,5_backbone,longoola,longoola,l o ⁿg oː l a,,Sawka2019,,,^ l o ng oo l a $,default,Body Part
Chewa-5_backbone-1,,Chewa,5_backbone,fupa la pamsana,fupa la pamsana,f u p a + l a + p a m s a n a,,Sawka2019,,,^ f u p a + l a + p a ms a n a $,default,Body Part
Nkoya1-5_backbone-1,,Nkoya1,5_backbone,mukokoto,mukokoto,m u k o k o t o,,Sawka2019,,,^ m u k o k o t o $,default,Body Part
Nkoya2-5_backbone-1,,Nkoya2,5_backbone,mongo,mongo,m o ⁿg o,,Sawka2019,,,^ m o ng o $,default,Body Part
Tonga-6_beard-1,,Tonga,6_beard,cilenzu,cilenzu,c/tʃ i l e ⁿz u,,Sawka2019,,,^ c i l e nz u $,default,Body Part
MukuniMarch-6_beard-1,,MukuniMarch,6_beard,cilezu,cilezu,c/tʃ i l e z u,,Sawka2019,,,^ c i l e z u $,default,Body Part
Mukuni-6_beard-1,,Mukuni,6_beard,cilezu,cilezu,c/tʃ i l e z u,,Sawka2019,,,^ c i l e z u $,default,Body Part
Sekute2013-6_beard-1,,Sekute2013,6_beard,Malezu,Malezu,M/m a l e z u,,Sawka2019,,,^ M a l e z u $,default,Body Part
Sekute-6_beard-1,,Sekute,6_beard,cilezu,cilezu,c/tʃ i l e z u,,Sawka2019,,,^ c i l e z u $,default,Body Part
Musukotwani-6_beard-1,,Musukotwani,6_beard,cilezu,cilezu,c/tʃ i l e z u,,Sawka2019,,,^ c i l e z u $,default,Body Part
Ila-6_beard-1,,Ila,6_beard,milehu,milehu,m i l e h u,,Sawka2019,,,^ m i l e h u $,default,Body Part
Lozi-6_beard-1,,Lozi,6_beard,mulelu,mulelu,m u l e l u,,Sawka2019,,,^ m u l e l u $,default,Body Part
Chewa-6_beard-1,,Chewa,6_beard,ndebvu,ndebvu,ⁿd e b v u,,Sawka2019,,,^ nd e b v u $,default,Body Part
Nkoya1-6_beard-1,,Nkoya1,6_beard,mulevu,mulevu,m u l e v u,,Sawka2019,,,^ m u l e v u $,default,Body Part
Nkoya2-6_beard-1,,Nkoya2,6_beard,milevu,milevu,m i l e v u,,Sawka2019,,,^ m i l e v u $,default,Body Part
Tonga-7_belly-1,,Tonga,7_belly,Ida,Ida,I/i d a,,Sawka2019,,,^ I d a $,default,Body Part
MukuniMarch-7_belly-1,,MukuniMarch,7_belly,tumbu,tumbu,t u ⁿb u,,Sawka2019,,,^ t u mb u $,default,Body Part
Mukuni-7_belly-1,,Mukuni,7_belly,tumbu,tumbu,t u ⁿb u,,Sawka2019,,,^ t u mb u $,default,Body Part
Sekute2013-7_belly-1,,Sekute2013,7_belly,ida,ida,i d a,,Sawka2019,,,^ i d a $,default,Body Part
Sekute-7_belly-1,,Sekute,7_belly,ida,ida,i d a,,Sawka2019,,,^ i d a $,default,Body Part
Musukotwani-7_belly-1,,Musukotwani,7_belly,ida,ida,i d a,,Sawka2019,,,^ i d a $,default,Body Part
Ila-7_belly-1,,Ila,7_belly,Ifwu,Ifwu,I/i fʷ u,,Sawka2019,,,^ I fw u $,default,Body Part
Lozi-7_belly-1,,Lozi,7_belly,mba,mba,ⁿb a,,Sawka2019,,,^ mb a $,default,Body Part
Chewa-7_belly-1,,Chewa,7_belly,mimba,mimba,m i ⁿb a,,Sawka2019,,,^ m i mb a $,default,Body Part
Nkoya1-7_belly-1,,Nkoya1,7_belly,livumo,livumo,l i v u m o,,Sawka2019,,,^ l i v u m o $,default,Body Part
Nkoya2-7_belly-1,,Nkoya2,7_belly,hajifu,hajifu,h a j/dʒ i f u,,Sawka2019,,,^ h a j i f u $,default,Body Part
Tonga-8_blood-1,,Tonga,8_blood,Bulowa,Bulowa,B/b u l o w a,,Sawka2019,,,^ B u l o w a $,default,Body Part
MukuniMarch-8_blood-1,,MukuniMarch,8_blood,bulowa,bulowa,b u l o w a,,Sawka2019,,,^ b u l o w a $,default,Body Part
Mukuni-8_blood-1,,Mukuni,8_blood,bulowa,bulowa,b u l o w a,,Sawka2019,,,^ b u l o w a $,default,Body Part
Sekute2013-8_blood-1,,Sekute2013,8_blood,igazi,igazi,i g a z i,,Sawka2019,,,^ i g a z i $,default,Body Part
Sekute-8_blood-1,,Sekute,8_blood,bulowa,bulowa,b u l o w a,,Sawka2019,,,^ b u l o w a $,default,Body Part
Musukotwani-8_blood-1,,Musukotwani,8_blood,bulowa,bulowa,b u l o w a,,Sawka2019,,,^ b u l o w a $,default,Body Part
Ila-8_blood-1,,Ila,8_blood,Bulowa,Bulowa,B/b u l o w a,,Sawka2019,,,^ B u l o w a $,default,Body Part
Lozi-8_blood-1,,Lozi,8_blood,mali,mali,m a l i,,Sawka2019,,,^ m a l i $,default,Body Part
Chewa-8_blood-1,,Chewa,8_blood,mwadzi,mwadzi,mʷ a dz i,,Sawka2019,,,^ mw a dz i $,default,Body Part
Nkoya1-8_blood-1,,Nkoya1,8_blood,mukeza,mukeza,m u k e z a,,Sawka2019,,,^ m u k e z a $,default,Body Part
Nkoya2-8_blood-1,,Nkoya2,8_blood,mukeda,mukeda,m u k e d a,,Sawka2019,,,^ m u k e d a $,default,Body Part
Tonga-9_body-1,,Tonga,9_body,mubili,mubili,m u b i l i,,Sawka2019,,,^ m u b i l i $,default,Body Part
MukuniMarch-9_body-1,,MukuniMarch,9_body,mobili,mobili,m o b i l i,,Sawka2019,,,^ m o b i l i $,default,Body Part
Mukuni-9_body-1,,Mukuni,9_body,mubili,mubili,m u b i l i,,Sawka2019,,,^ m u b i l i $,default,Body Part
Sekute2013-9_body-1,,Sekute2013,9_body,mobili,mobili,m o b i l i,,Sawka2019,,,^ m o b i l i $,default,Body Part
Sekute-9_body-1,,Sekute,9_body,mobili,mobili,m o b i l i,,Sawka2019,,,^ m o b i l i $,default,Body Part
Musukotwani-9_body-1,,Musukotwani,9_body,mobili,mobili,m o b i l i,,Sawka2019,,,^ m o b i l i $,default,Body Part
Ila-9_body-1,,Ila,9_body,mubili,mubili,m u b i l i,,Sawka2019,,,^ m u b i l i $,default,Body Part
Lozi-9_body-1,,Lozi,9_body,mubili,mubili,m u b i l i,,Sawka2019,,,^ m u b i l i $,default,Body Part
Chewa-9_body-1,,Chewa,9_body,thupi,thupi,tʰ u p i,,Sawka2019,,,^ th u p i $,default,Body Part
Nkoya1-9_body-1,,Nkoya1,9_body,lutu,lutu,l u t u,,Sawka2019,,,^ l u t u $,default,Body Part
Nkoya2-9_body-1,,Nkoya2,9_body,lutu,lutu,l u t u,,Sawka2019,,,^ l u t u $,default,Body Part
Tonga-10_bone-1,,Tonga,10_bone,cifuwa,cifuwa,c/tʃ i f u w a,,Sawka2019,,,^ c i f u w a $,default,Body Part
MukuniMarch-10_bone-1,,MukuniMarch,10_bone,mafuwa,mafuwa,m a f u w a,,Sawka2019,,,^ m a f u w a $,default,Body Part
Mukuni-10_bone-1,,Mukuni,10_bone,mafuwa,mafuwa,m a f u w a,,Sawka2019,,,^ m a f u w a $,default,Body Part
Sekute2013-10_bone-1,,Sekute2013,10_bone,ifuwa,ifuwa,i f u w a,,Sawka2019,,,^ i f u w a $,default,Body Part
Sekute-10_bone-1,,Sekute,10_bone,mafuwa,mafuwa,m a f u w a,,Sawka2019,,,^ m a f u w a $,default,Body Part
Musukotwani-10_bone-1,,Musukotwani,10_bone,cifuwa/ifuwa,cifuwa,c/tʃ i f u w a,,Sawka2019,,,^ c i f u w a $,default,Body Part
Musukotwani-10_bone-2,,Musukotwani,10_bone,cifuwa/ifuwa,ifuwa,i f u w a,,Sawka2019,,,^ i f u w a $,default,Body Part
Ila-10_bone-1,,Ila,10_bone,cifuwa,cifuwa,c/tʃ i f u w a,,Sawka2019,,,^ c i f u w a $,default,Body Part
Lozi-10_bone-1,,Lozi,10_bone,lisapo,lisapo,l i s a p o,,Sawka2019,,,^ l i s a p o $,default,Body Part
Chewa-10_bone-1,,Chewa,10_bone,fupa,fupa,f u p a,,Sawka2019,,,^ f u p a $,default,Body Part
Nkoya1-10_bone-1,,Nkoya1,10_bone,shifupa,shifupa,sh/ʃ i f u p a,,Sawka2019,,,^ sh i f u p a $,default,Body Part
Nkoya2-10_bone-1,,Nkoya2,10_bone,shifupa,shifupa,sh/ʃ i f u p a,,Sawka2019,,,^ sh i f u p a $,default,Body Part
Tonga-11_breasts-1,,Tonga,11_breasts,Inkolo,Inkolo,I/i ŋ k o l o,,Sawka2019,,,^ I nk o l o $,default,Body Part
MukuniMarch-11_breasts-1,,MukuniMarch,11_breasts,inkolo,inkolo,i ŋ k o l o,,Sawka2019,,,^ i nk o l o $,default,Body Part
Mukuni-11_breasts-1,,Mukuni,11_breasts,inkolo,inkolo,i ŋ k o l o,,Sawka2019,,,^ i nk o l o $,default,Body Part
Sekute2013-11_breasts-1,,Sekute2013,11_breasts,inkolo,inkolo,i ŋ k o l o,,Sawka2019,,,^ i nk o l o $,default,Body Part
Sekute-11_breasts-1,,Sekute,11_breasts,inkolo,inkolo,i ŋ k o l o,,Sawka2019,,,^ i nk o l o $,default,Body Part
Musukotwani-11_breasts-1,,Musukotwani,11_breasts,inkolo,inkolo,i ŋ k o l o,,Sawka2019,,,^ i nk o l o $,default,Body Part
Ila-11_breasts-1,,Ila,11_breasts,Inkolo,Inkolo,I/i ŋ k o l o,,Sawka2019,,,^ I nk o l o $,default,Body Part
Lozi-11_breasts-1,,Lozi,11_breasts,lizwele,lizwele,l i zʷ e l e,,Sawka2019,,,^ l i zw e l e $,default,Body Part
Chewa-11_breasts-1,,Chewa,11_breasts,bele/mabele,bele,b e l e,,Sawka2019,,,^ b e l e $,default,Body Part
Chewa-11_breasts-2,,Chewa,11_breasts,bele/mabele,mabele,m a b e l e,,Sawka2019,,,^ m a b e l e $,default,Body Part
Nkoya1-11_breasts-1,,Nkoya1,11_breasts,mabele,mabele,m a b e l e,,Sawka2019,,,^ m a b e l e $,default,Body Part
Nkoya2-11_breasts-1,,Nkoya2,11_breasts,mabele,mabele,m a b e l e,,Sawka2019,,,^ m a b e l e $,default,Body Part
Tonga-12_cheek-1,,Tonga,12_cheek,saya,saya,s a y a,,Sawka2019,,,^ s a y a $,default,Body Part
MukuniMarch-12_cheek-1,,MukuniMarch,12_cheek,ituma,ituma,i t u m a,,Sawka2019,,,^ i t u m a $,default,Body Part
Mukuni-12_cheek-1,,Mukuni,12_cheek,itama,itama,i t a m a,,Sawka2019,,,^ i t a m a $,default,Body Part
Sekute2013-12_cheek-1,,Sekute2013,12_cheek,itama,itama,i t a m a,,Sawka2019,,,^ i t a m a $,default,Body Part
Sekute-12_cheek-1,,Sekute,12_cheek,itama,itama,i t a m a,,Sawka2019,,,^ i t a m a $,default,Body Part
Musukotwani-12_cheek-1,,Musukotwani,12_cheek,itama,itama,i t a m a,,Sawka2019,,,^ i t a m a $,default,Body Part
Ila-12_cheek-1,,Ila,12_cheek,Itama,Itama,I/i t a m a,,Sawka2019,,,^ I t a m a $,default,Body Part
Lozi-12_cheek-1,,Lozi,12_cheek,lilama,lilama,l i l a m a,,Sawka2019,,,^ l i l a m a $,default,Body Part
Chewa-12_cheek-1,,Chewa,12_cheek,saya,saya,s a y a,,Sawka2019,,,^ s a y a $,default,Body Part
Nkoya1-12_cheek-1,,Nkoya1,12_cheek,nthantha,nthantha,ⁿtʰ a ⁿtʰ a,,Sawka2019,,,^ nth a nth a $,default,Body Part
Nkoya2-12_cheek-1,,Nkoya2,12_cheek,nthantha,nthantha,ⁿtʰ a ⁿtʰ a,,Sawka2019,,,^ nth a nth a $,default,Body Part
