English,Category,Tonga,Mukuni-March,Mukuni,Sekute 2013,Sekute,Musukotwani,Ila,Lozi,Chewa,Nkoya_1,Nkoya_2
hand,Body Part,mukono,janza,janza,janza,janza,mukono,mukono,lizoho,zanja,liboko,jiboko
arm,Body Part,janza,janza,janza,kuboko,janza,janza,itashi,lizoho,zanja,liboko,jiboko
armpit,Body Part,munkwa,munkwa,munkwa,inkwa,munkwa,munkwa,inkwa,lihafwa,nkwapata,munkwapa,munkwapa
back,Body Part,kunze,kusule,kusule,Musana,musana,isule,kunze,mukokoto,musana,mongo,mongo
backbone,Body Part,musana,mongoola,mongoola,mungoola,musana,musana,moongo,longoola,fupa la pamsana,mukokoto,mongo
beard,Body Part,cilenzu,cilezu,cilezu,Malezu,cilezu,cilezu,milehu,mulelu,ndebvu,mulevu,milevu
belly,Body Part,Ida,tumbu,tumbu,ida,ida,ida,Ifwu,mba,mimba,livumo,hajifu
blood,Body Part,Bulowa,bulowa,bulowa,igazi,bulowa,bulowa,Bulowa,mali,mwadzi,mukeza,mukeda
body,Body Part,mubili,mobili,mubili,mobili,mobili,mobili,mubili,mubili,thupi,lutu,lutu
bone,Body Part,cifuwa,mafuwa,mafuwa,ifuwa,mafuwa,cifuwa/ifuwa,cifuwa,lisapo,fupa,shifupa,shifupa
breast(s),Body Part,Inkolo,inkolo,inkolo,inkolo,inkolo,inkolo,Inkolo,lizwele,bele/mabele,mabele,mabele
cheek,Body Part,saya,ituma,itama,itama,itama,itama,Itama,lilama,saya,nthantha,nthantha
chin,Body Part,mweebo,kalezu,kalezu,chilezu,chilezu,chilezu,mweezhi,mulelu,kayeko,,mumbanga
ear,Body Part,kutwe,kutwi,itwi,kutwi,kutwi,kutwi,kutwi,zebe,khutu,lilu,jitu
eye,Body Part,linso,linso,linso,linso,linso,linso,linso,liito,diso,liho,jiho
eyebrow,Body Part,cikoye,inkoye,inkoye,chikoye,inkoye,chikoye,Inkowe,nobyo,nsiye,nkhokola,nchiye
eyelash,Body Part,cikoye,inkoye,inkoye,inkoye,inkoye,inkoye,cikowe,nsi,nsiye,bikuku,mkhopio
finger,Body Part,munwe,munwe,kanwe,munwe,munwe,munwe,munwe,mun'wana,cala,minwe,munwe
fingernail,Body Part,lwala,igala,igala,ingala,igala,ingala,lwala,linala,nzala,manyala,manyala/jinyala
foot,Body Part,cituta,cifumbu,gulu,itende,gulu,kulu,cifwamba,lihutu,phadzi,liulu,jiulu
hair,Body Part,Isusu,masusu,masusu,masusu,masusu,masusu,Isusu,milili,tsisi,huki,huki
head,Body Part,mutwe,mutwe,mutwe,mutwe,mutwe,mutwe,mutwi,toho,mutu,mutwe,mutwe
heart,Body Part,moyo,moyo,moyo,moyo,moyo,moyo,monzo,pilu,mtima,mutima,mutima
jawbone,Body Part,mweebo,mweebo,mweebo,mweebo,mweebo,mweebo,mweezhi,mutahali,chigama,maunji,mumbango
knee,Body Part,Igondo,izwi,izwi,izwi,izwi,izwi,Inungo,lin'gwele,nkhokola,nkhokola,nkhokola
leg,Body Part,mweendo,kuulu,gulu,kuulu,gulu,kuulu,mweende,lihuto,mwendo,liulu,jiulu
liver,Body Part,muni,muni,cibiti,cibiti,cibiti,muni,muni,sibitu,ciu,lihuli,jitima
lung,Body Part,fufwe,mapunga,mapunga,mapunga,mapunga,mapunga,Ifufwe,liswafu,pwapwa,,mafufu
mouth,Body Part,molomo,mulomo,mulomo,mulomo,mulomo,mulomo,mulomo,mulomo,kamwa,kanwa,kanwa
neck,Body Part,Insingo,insingo,insingo,insingo,insingo,insingo,Inshingo,mulala,khosi,nchingo,nchingo
nose,Body Part,mpemo,mpemo,mpemo,mpemo,mpemo,mpemo,Inango,ngo,mphuno,muzulu,Mudulu
skin,Body Part,cikutu,cikanda,cikanda,cikanda,cikanda,cikanda,Lukanda,litalo,khungu,shikonde,nyama
sore,Body Part,cicisa,cilonda,cilonda,cilonda,cilonda,cilonda,cilonda,sitombo,chilonda,shitombo,shitombo
tail,Body Part,mucila,mucila,mucila,mucila,mucila,mucila,mucila,muhata,mchila,mushila,mushila
tongue,Body Part,mulaka,lulimi,lulimi,lulimi,lulimi,lulimi,mulaka,lulimi,lilime,lulimi,lujimi
tooth,Body Part,linyo,lino,lino,lino,lino,lino,lino,lino,zino,mayewe,mayewe/jewe
voice,Body Part,jwi,ijwi,ijwi,ijwi,ijwi,ijwi,Izwi,linzwi,liu,lizu,jidu
wing,Body Part,bbaba,bbaba,bbaba,bbaba,bbaba,bbaba,Ibaba,lifufa,phiko,limbabo,bifudi
one,number,komwe,komwe,komwi,komwi,komwi,komwi,komwi,kalikamwi,kamodzi,umo,kamo
two,number,tobilo,tobile,tobile,tobile,tobile,tobile,tobile,totubili,tuwiri,ubili,tubiji
three,number,totatwe,totatwe,totatwe,totatwe,totatwe,totatwe,totatwe,totulalo,tutatu,uhatu,tuhatu
four,number,tone,tone,tone,tone,tone,tone,tone,totune,tunai,una,tuhatu nakamo
five,number,tosanwe,tosanwe,tosanwe,tosanwe,tosanwe,tosanwe,tosanwe,ketalizoho,tusanu,una nakamo,Mushanu nakomwi
six,number,cisambomwe,cisambomwe,cisambomwe,cisambomwe,,cisambomwe,cisambomwi,silezi,tusanu ndi kamodzi,una natubili,Mushanu natubiji
seven,number,ciloba,cisanu ability,,ciloba,,lusele,ciloba,supile,tusanu ndi tuwiri,una natuhatu,seveni
eight,number,lusele,ciloba,,lusele,,,lusele,supile ni kakalikamo,tusanu ndi tutatu,,eiti
nine,number,Ifuka,ifuka,,ifuka,,ciloba,Ifwuka,supile totobeli,tusanu ndi tunai,,naini
ten,number,Ikumi,ikumi,kumi,kumi,kumi,kumi,Ikumi,lishumi,khumi,mutanu,teni
few,number,tunini,tuce,tuce,wuce,tunini,tunini,tushoonto,bwinyani,ting'ono,byabishe,twani
many,number,zinjizinji,zinji,zinji,zinji,zinjizinji,zinji,shinjishinji,bun'ata,zambiri,byabingi,byabingi
bee,animal,nzuki,nzoki,inzoki,nzuki,nzuki,nzuki,Inzuci,muka,njuci,mphuka,mphuka
bird,animal,muyuni,muyuni,muyuni,muyuni,muyuni,muyuni,muzuni,nyunywani,mbalame,kayoni,kayoni
buffalo,animal,munyati,nyati,nyati,Munyati,munyati,Munyati,munyati,nali,njati,ngombe yalishaka,ngombe yajishaka
cat,animal,kaaze,kaaze,kaaze,kaaze,kaaze,kaaze,kaaze,kaze,chona,kaze,pushi
crocodile,animal,ciwena,ntale,ntale,ntale,ntale,ntale,ciwena,kwena,ng'ona,ngandu,ngandu
dog,animal,mubwa,mubwa,mubwa,mubwa,mubwa,mubwa,mubwa,nja,galu,kawa,kawa
elephant,animal,muzovu,nzovu,nzovu,nzovu,nzovu,nzovu,muzohuu,tou,njobvu,nzovu,ndovu
fish,animal,Inswi,inswi,inswi,inswi,inswi,inswi,Inswi,tapi,nsomba,inshi,nyinshi
goat,animal,mpongo,mpongo,mpongo,mpongo,mpongo,mpongo,Impongo,puli,mbuzi,mphembe,mphongo
head louse,animal,njina,njina,njina,njina,njina,njina,Injina,nda,nsabwe/inda,ina wamumutwe,ina
hippo,animal,civubwe,mvumvu,mvumvu,muvuvu,civubwe,mvumvu,cihubwe,kubu,mvuwu,Mvubu,Mvubu
lion,animal,syaanza,mulavu,mulavu,mulavu,mulavu,mulavu,shuumbwa,tau,mkango,shimbwi,shimbwi
rhino,animal,cipembele,cipembele,cipembele,cipembele,cipembele,cipembele,cipembele,sembele,chipembele,,chipembele
snake,animal,nzoko,nzoka,nzoka,nzoka,nzoka,nzoka,Inzoka,noha,njoka,lilongolo,Jiyoka
spider,animal,,,cibubi,cibubi,cibubi,cibubi,,,kangaude,,mbelengende
wild animal,animal,munyama,munyama wamusaka,munyamasaka,munyamasaka,munyama wesaka,munyama musokwe,munyama,liakanyani,nyama yakuthango,Kayamana wamulishaka,Kayamana wajishaka
bull,animal,poho,mwenze,mupoho,mupoho,mupoho,mupoho,mucende,poho,nkhunzi,poho,poho
calf,animal,moombe,kombe,nkana mani,kombe,nkana mani,kanamani,moombe,kanamani,litole,wamani,Mwana ngombe
cow,animal,ng'ombe,ng'ombe,ntole,chitole,ntole,ng'ombe,Ing'ombe,komu,ng'ombe,shitole,ngombe
chicken,animal,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,Inkuku,kuhu,nkhuku,nhanhwa,nhanhwa
cock,animal,mukombwe,muzingili,muzingili,muzingili,muzingili,muzingili,mukombwe,mukombwe,tambala,likombwe,jikombwe
arrow,thing,muvwi,buta,kadali,kadali,kadali,kadali,muhwi,buta,mubvi,muvwi,muvwi
ash,thing,twe,idota,dota,idota,dota,dota,Itwe,mufuse,phulusa,mutoko,milota
axe,thing,keembe,cileba,cileba,capu,capu,cankuni,keembe,capu,nkhwangwa,kazembe,kazembe
bark (of tree),thing,mapapa,makwa,makwa,makwa,makwa,makwa,mapapu,makwati,chikwa,shinhwanhwa shamutondo,jikombombo
burden,thing,mukuli,mukuli,mukuli,muzio,cibundu,muzio,mukuli,libyana,katundu,shitele,shashilemu
chair,thing,cuuna/cuuno,cuuno,cibula,cibula,cibula,cuuno,cuuna/cuuno,sipula,mpando,shipona,shashipuna
cloud,thing,kumbi,joba,joba,joba,joba,joba/maiyoba,Ikumbi,lilu,mtambo,makumbi,makumbi
cooking pot,thing,mpoto,cilongo,mupika,mupika,impoto,cilongo,Impoto,mupika,m'phika,mupika,mupika
darkness,thing,musinze,mudima,mudima,mudima,mudima,mudima,mushinze,lifiti,mdima,mushimphwe,kunashipi
day time,thing,sikati,sikati,sikati,sikati,sikati,musihali,muunza,musihali,usana,mwana,mwana
dew,thing,mume,lume,lume,lume,lume,lume,mume,puka,mame,mume,mume
dust,thing,suko,isuko,suko,suko,suko,suko,lufwuko,liluli,fumbi,lukungu,lukungu
earth,thing,nyika,nyika,nyika,nyika,nyika,nyika,Inshi,lifasi,nthaka,limvu,kaye
egg,thing,ji,ji,ji,ji,ji,ji,Iyi,lii,dzila,lingi,jingi
feather,thing,pepe,imulimba,mulimba,mulimba,pepe,mulimba,Ipepe,mutibelo,,mahako,ushako
field,thing,muunda,munda,munda,munda,munda,munda,muunda,simu,munda,fuba,mfuba
finger millet,thing,maase,mai ila,mai ila,izembe,mai ila,izembe,maase,mauza,mawele,mahangu,mahangu/luku
fire,thing,mulilo,molilo,mulilo,molilo,mulilo,mulilo,mulilo,mulilo,moto,mundilo,munjilo
firewood,thing,nkuni,nkuni,nkuni,nkuni,nkuni,nkuni,Inkuni,kotayakuola,nkhuni,nkhuni,nkhuni
flower,thing,,iduba,maluba,maluba,maflaus,maluba,Ilubaluba,palisa,duwa/maluwa,lipaliso,jiluba
grass,thing,bwizu,bwizu,bwizu,bwizu,bwizu,bwizu,bwizu,bucwani,udzu,mwila,mwila
hardship,thing,mapenzi,mapenzi,mapenzi,mapenzi,mapenzi,mapenzi,mapenzhi,manyando,zolemetsa,byakukalu,mashupeko
hoe,thing,jamba,jamba,jamba,jamba,jamba,jamba,Iyamba,muhuma,khatsu,likahu,jikahu
hole,thing,cilindi,cilindi,dindi,dindi,dindi,dindi,cilindi,musima,dzenje,wina,shiteke
honey,thing,buci,buci,buci,buci,buci,buci,buci,linosi,uci,ushi,wishi
house,thing,ng'anda,ng'anda,ng'anda,ng'anda,ng'anda,ng'anda,Ing'anda,ndu,nyumba,litala,jitali
hunger,thing,nzala,nzala,nzala,nzala,nzala,nzala,Inzala,tala,njala,nzala,ndala
iron,thing,cibulo,nsimbi,nsimbi,nsimbi,nsimbi,citale,cibolo,haini,chisulo,shondo,shondo
knife,thing,,kafulo,ntiba,ntiba,ntiba,ntiba,Intipa,tipatipa,mpeni,mphoko,mphoko
knot,thing,,cifwizu,nfwizila,nfwizila,cifwizu,kakoto,Inkoswe,lifuto,nfundo,,kamangiwi
lake,thing,bweza,iziba,iziba,iziba pati,iziba,iziba,bweza,lisa,nyanja,liziba,mushindi
light,thing,mumuni,mumuni,mumuni,mumuni,mumuni,mumuni,mumuni,liseli,kuunika,kuyela,kumunika
meat,thing,nyama,nyama,nyama,nyama,nyama,nyama,buzani,nama,nyama,nyama,nyama
medicine,thing,musamu,mucelo,musamu,mucelo,musamu,musamu,musamu,mulyani,mankhwala,wanga,wanga
milk,thing,mukupa,malili,malili,muzilili,malili,mukupa,mukupa,mabisi,mukaka,mabishi,manhwe
