English,Category,Tonga,Mukuni-March,Mukuni,Sekute 2013,Sekute,Musukotwani,Ila,Lozi,Chewa,Nkoya_1,Nkoya_2
month,thing,mwezi,mwezi,mwezi,mwezi,mwezi,mwezi,mwezhi,kweli,mwezi,ngonda,ngonda
moon,thing,mwezi,mwezi,mwezi,mwezi,mwezi,mwezi,mwezhi,kweli,mwezi,ngonda,ngonda
mountain,thing,malundu,mulundu,cilundu,cilundu,cilundu,mulundu,mapili,lilundu,phiri,kena,hamapiji
mourning - sadness,thing,kulila,kusaa,kusaa,kusaa,kusaa,kusaa,kulila,sililo,kulira-cisoni,malila,lumenemene
name,thing,zina,zina,zina,izina,zina,zina,Izhina,libizo,zina,lizina,jidina
night,thing,masiku,masiku,masiku,busiku,masiku,busiku,mashiku,busihu,usiku,ushiku,ushiku
path,thing,kazila,kazila,nzila,kazila,kazila/nzila,kazila,kazhila,nzila,njira,nzila,kadila kakashe
porridge,thing,ceele,ceele,ceele,ceele,ceele,ceele,ceele,palica,phala,,poliki
rain,thing,mvula,mvula,mvula,mvula,mvula,mvula,Inhula,pula,mvula,mvula,mvula
river,thing,mulonga,mulonga,mulonga,mulonga,mulonga,mulonga,Lweenje,nuka,mtsinje,mushindu,mushindi
root,thing,muyanda,muyunda,muyanda,muyanda,muyanda,muyanda,muzanda,mubisi,mudzu,mupishi,mupishi
rope,thing,,ntambo,ntambo,ntambo,ntambo,ntambo,lukalo,muhala,chingwe,mukunzi,lunyimbwa/nthambo
salt,thing,munyo,munyo,mulunzio,mwinyo,munyo,munyo,mwino,lizwai,mcere,mushele,mushele
sand,thing,musenga,muse,muse,muse,muse,muse,musenga,lishabati,mcenga,lihengevu,luhekelela
seed,thing,nseke,imbuto,imbuto,imbuto,imbuto,imbuto,Inseke,peu,mbeu,mbuto,mbeu
shade,thing,cinivule,civule,mwemvule,mwemvule,cinivule,mwemvule,cinhule,muluti,mthunzi,mubombola,kabombola
sickness,thing,bulwazi,bulwazi,bulwazi,bulwazi,bulwazi,bulwazi,bulwazhi,butuku,matenda,makola,kukola
sky,thing,julu,julu,julu,julu,julu,julu,izeulu,mbyumbyulu,thambo,makumbi,kuyilu
smoke,thing,busi,busi,busi,busi,busi,busi,bushi,musi,utsi,wishe,jiwishi
spear,thing,muumba,sumo,sumo,sumo,sumo,sumo,muumba,lisho,mkondo,mulinga,mujinga
star,thing,Inyenyezi,nyenyezi,nyenyezi,nyenyezi,nyenyezi,nyenyezi,Intongwezhi,nalile,nyenyezi,nyenye,nyenye
stone,thing,bbwe,bbwe,bbwe,bbwe,bbwe,ibwe/bbwe,Ibwe,licwe,mwala,limanya,jimanya
stool,thing,cuuno,kauno,cibbula,kabbula,kabbula,kauno,cuuna,sipuli,mpando,shipona,kapuna
sun,thing,Izuba,izuba,izuba,izuba,izuba,izuba,Izuba,lizazi,zuwa,mutena,mwaana
thing,thing,cintu,cintu,cintu,cintu,cintu,cintu,cintu,sika,kanthu,shuma,shuma
thirst,thing,nyota,nyota,nyota,nyota,nyota,nyota,Inyota,linyolwa,ludzu,linyotwa,jinyotwa
thorn,thing,bumvwa,mumvwa,mumvwa,mumvwa,mumvwa,mumvwa,bwiya,mutwa,munga,muhongela,muhengela
thread,thing,,bwanda,bwanda,bwanda,bwanda,bwanda,mutonje,bwanda,,,utonge
today,thing,sanu,sunu,sunu,sunu,sunu,sunu,bwasanu,kacenu,lero,lelo,lelo
tomorrow,thing,cifwamo,junza,junza,junza,junza,junza,zona,kamuso,mawa,nzona,dona
utensil,thing,zibelesyo,zibelesyo,zibelesyo,zijikilo,zibelesyo,zibelesyo,shisebezho,lisebeliso,ziwiya,byuma,byuma
village,thing,munzi,munzi,munzi,munzi,munzi,munzi,munzhi,munzi,mudzi,munzi,mundi
walking stick,thing,musako,inkoli,inkoli,inkoli,inkoli,inkoli,musako,mulamu,ndodo,,mulamo
wall,thing,bwaanda,bulambo,bulambo,bulambo,bwaanda,bbwaanda,bwaanda,limota,ciumba,limota,shishimi
war,thing,nkondo,nkondo,nkondo,nkondo,nkondo,nkondo,Inkondo,ndwa,nkhondo,nzita,miyoyo
water,thing,maanzi,maanzi,maanzi,maanzi,maanzi,maanzi,mweenzhi,mezi,madzi,mema,mema
what,thing,ninzi,ninzi,ninzi,ninzi,ninzi,ninzi,nciinzhi,n'i,chani,bishini,binhi
wind [noun],thing,moya,luwo,luwo,luwo,luwo,luwo,muuwo,moya,mphepo,mphepo,mashika
year,thing,mwaka,mwaka,mwaka,mwaka,mwaka,mwaka,mwaka,silimo,caka,mwaka,mwaka
yesterday,thing,jilo,jilo,jilo,jilo,jilo,jilo,uzona,masani,zulo,nzona,dona
big knife,adjective & thing,,cifulo,tibampati,sabule,intiba,cifulo,Itipa,tipayetuna,cimpeni,nphoka yainene,nphoka yainene
branch,thing,mutabi,motabi,mutale,mutale,ntabe,mutale,mutabi,mutai,nthambi,mwaho,shahemunanu
leaf,thing,Itu,igani,igani,igani,igani,igani,Ituhu,litali,tsamba,libizi,mabidi
tree,thing,cisamu,musamu,musamu,musamu,musamu,musamu,cisamu,kota,mtengo,mutondo,shitondo
sit,verb,kala,kala,kala,kala,kala,kala,kala,siino,khala,ikala,ikala
brother,person,,mukwesu,mukwesu,muziyawama,,,mukwesu,muhulwani,mbale,mphanzami,bakondo bami
brother-younger,,,,,,mwenje,mwence,,,,mukonzowami,mukondowami
brother-older,,,,,,mukulana,mupati,,,,yaya,yaya
chief,person,mwami,mwami,mwami,mwami,mwami,mwami,mwami,mulena,mfumu,mwene,mwene
child,person,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,kanuke,mwana
daughter,person,,mwana musimbi,mwana musimbi,mwana musimbi,mwana musimbi,mwana musimbi,mwana mushimbi,mwana ni musizani,mwana wamkadzi,mwana wamuzi,mwana wambeleki
enemy,person,,sikondoma,sikondoma,sinkondoma,sikondoma,sikondoma,shinkondo,sila,mdani,mulwani,wamubi
father,person,Taata,taata,taata,wisi,taata,taata,Taata,ndate,atate,tate,tate
God,person,Leza,leza,leza,leza,leza,leza,Leza,mulimu,Mulungu,nyambi,nyambi
husband,person,mulumi,mulumi,mulumi,mulumi,mulumi,mulumi,mulumi,muuna,mwamuna,munthu wami,bamunthu wami
man,person,musankwa,malumi,malumi,malumi,malumi,malumi,mulombwana,muuna,mwamuna,mulume,mulume
mother,person,baama,maama,maama,nyina,maama,baama,baama,boma,amai,mawa,bamawa
mother's brother,person,Aisya,siminzyesu,siminzyesu,siminzyesu,aisya,siminzyesu,acisha,malume,amalume,kanyanthu,kanyanthu
person,person,muntu,muntu,muntu,muntu,muntu,muntu,muntu,mutu,munthu,munthu,munthu
son,person,mwana,mwana mosankwa,mwana mosankwa,mwana mosankwa,mwana mosankwa,mwana mosankwa,mweembezi,mwan mushimani,mwana wamwamuna,mwana wamulume,mwana mimulume
twins,person,,mbambile,mbambile,maanga,mampundu,mbambile,maanga,mapundu,amapasa,bambuyu,bambuyu
who,person,nguni,ngwani,ngwani,ngwani,ngwani,nguni,nguni,mani,ndani,yani,yani
wife,person,mukaintu,mwana kazi wangu,mwana kazi,mwana kazi,mukaintu,mukaintu,mwinangu,musali,mkadzi,munthu wami,munthu wami
woman,person,mukaintu,mwana kazi,mucembele/mwana kazi,mwana kazi,mwana kazi,mwana kazi,mukaintu,musali,mkadzi,mbeleke,mukamawa
bad,adjective,mubi,cibi,obi,obi,mubi,cibi,cibiyabi,bumaswe,kuipa,kono,shashibi
big,adjective,cipati,cipati,cipati,cipati,cipati,cipati,cikando,butuna,ukula,shashinene,shashinene
black,adjective,cisiya,kusiya,kusiya,kusiya,kusiya,kusiya,cishiya,bunsu,kuda,kushipa,shakushipa
cold,adjective,kutontola,kutontola,kutontola,kutontola,kutontola,kutontola,kutontola,kubata,kuzidzila,kubombola,kubombola
difficult,adjective,buyumuyumu,buyumuyumu,ciumu/buyumuyumu,buyumuyumu,buyumuyumu,ciumu/buyumu-yumu,buzumuzumu,butata,cobvuta,shashikalu,shashupa
dirty,adjective,tombe,itombe,kudingona,tombe,doti,itombe,Itombe,masila,dothi/ubve,mazilo,ndomba
dry,adjective,kuyuma,kuyuma,kuyuma,kuyuma,kuyuma,kuyuma,kuzuma,kuoma,kuuma,kuyuma,shinayumu
dull,adjective,kuziima,citendele,kucipa,kucipa,citendele,cipa,kuzhiima,tipa yembumb utezi,ubuntha,kushima,yaishimi
easy,adjective,cuuba,kuba uba,cuuba,kuba uba,tazhishupi/cuuba,cuuba,cuubauba,bunolo,capafupi,shawangu,unhenhu
full,adjective,kuzula,cizwide,kuzula,zula,kuzula,cizwide,cilizwile,kutaza,uzala,ngu,kwindala
good,adjective,cibotu,cibotu,obotu,obotu,cibotu,cibotu,cibotu,hande,bwino,shiwahi,shashiwahe
heavy,adjective,kulema,cilemu,cilemu,kulema,kulema,cilemu,kulema,bukiti,kulema,ulemu,shashilemu
hot,adjective,kupya,kupya,kupya,kupya,kupya,kupya,kupiya,kucisa,kupsa,kutukuma,kuhoka
long,adjective,cilamfu,kulampa,kulampa,kulamba,kulampa,cilamfu,cilamfwu,butelele,utali,shashitali,utaji
narrow,adjective,kaniini,kasiani kide,kasiani kide,kasiani kana,kanini,kanini,kafwula-fwula,busisani,kucipa,,kakashe
new,adjective,,cipiya,cipiya,wupiya,cipiya,cipiya,cipiya,bunca,casopano,shaluipya,shauluno
red,adjective,,cisalala,kusalala,cusalala,kusalala,kusalala,cisubila,bufubelu,kufiila,kufubila,kufubila
rotten,adjective,,kubola,kubola,kubola,kubola,kubola,cibozhi,kubola,coola,shabola,kubola
sharp,adjective,kubosha,cibosya,cibosya,kubosya,kubosya,,cilampa,kushenga,kuthwa,utwe,itwe
short,adjective,,bufwafwi,kufwimpa,cifwifwi,cifwifwi,mufwi/cifwifwi,kufwiimpa,bukuswani,kufupika,shashipi,wipi
small,adjective,,buce,kanini,nce nini,kanini,nce nini,kashoonto,bwinyani,ucepa,shashishe,kakashe
wet,adjective,,wutete,kuteta,kuteta,kuteta,kuteta,kulopa,kukoloba,kunana,shakumbola,byakudaba
white,adjective,,kutuba,kutuba,kutuba,kutuba,kutuba,cituba,busweu,kuyera,kuyela,kutuba
wide,adjective,,kokwanzama,kukwankama,kwanzamuka,kukwankamaka,kwanzamuka,ukomena,butelele,ukula,,unene
far,location,kule,kale,kule,kule,kule,kule,kulaale,kwahule,kutali,hahatali,kwakutaji
inside,location,mukati,mukati,mukati,mukati,mukati,mukati,mukati,mwahali,mkati,mukati,mukati
near,location,,afwafwi,pafwi,ambali,afwafwi,afwafwi,afwaafwi,fakaufi,pafupi,hahepi,hahepi
outside,location,anze,anze,anze,anze,anze,anze,ansengwe,kwande,kunja,hamunkhanda,handa
leftside,location,,lumwensi,lumwensi,cigoyo,lumwensi,lumwensi,kucimonsho,kwanzoto,kumanzele,shimoho,kujimoho
rightside,location,kululyo,kululyo,kululyo,cidisyo,kululyo,kululyo,kucilyo,kwasilyo,kulamanja,shilyo,kushijo
why,concept,,ninzi,ambonzi,kambonzi,kambonzi,kambonzi,nkaambonzi,kin'i,chifukwa,biho,biho
