ID,ENGLISH,NUMBER,CONCEPTICON_ID,CONCEPTICON_GLOSS
Sawka-2019-201-1,hand,1,1277,HAND
Sawka-2019-201-2,arm,2,1673,ARM
Sawka-2019-201-3,armpit,3,1886,ARMPIT
Sawka-2019-201-4,back,4,1291,BACK
Sawka-2019-201-5,backbone,5,805,SPINE
Sawka-2019-201-6,beard,6,678,BEARD
Sawka-2019-201-7,belly,7,1251,BELLY
Sawka-2019-201-8,blood,8,946,BLOOD
Sawka-2019-201-9,body,9,1480,BODY
Sawka-2019-201-10,bone,10,1394,BONE
Sawka-2019-201-11,breast(s),11,1402,BREAST
Sawka-2019-201-12,cheek,12,1730,CHEEK
Sawka-2019-201-13,chin,13,1510,CHIN
Sawka-2019-201-14,ear,14,1247,EAR
Sawka-2019-201-15,eye,15,1248,EYE
Sawka-2019-201-16,eyebrow,16,1173,EYEBROW
Sawka-2019-201-17,eyelash,17,1540,EYELASH
Sawka-2019-201-18,finger,18,1303,FINGER
Sawka-2019-201-19,fingernail,19,1258,FINGERNAIL
Sawka-2019-201-20,foot,20,1301,FOOT
Sawka-2019-201-21,hair,21,1040,HAIR
Sawka-2019-201-22,head,22,1256,HEAD
Sawka-2019-201-23,heart,23,1223,HEART
Sawka-2019-201-24,jawbone,24,798,JAW
Sawka-2019-201-25,knee,25,1371,KNEE
Sawka-2019-201-26,leg,26,1297,LEG
Sawka-2019-201-27,liver,27,1224,LIVER
Sawka-2019-201-28,lung,28,688,LUNG
Sawka-2019-201-29,mouth,29,674,MOUTH
Sawka-2019-201-30,neck,30,1333,NECK
Sawka-2019-201-31,nose,31,1221,NOSE
Sawka-2019-201-32,skin,32,763,SKIN
Sawka-2019-201-33,sore,33,51,SORE
Sawka-2019-201-34,tail,34,1220,TAIL
Sawka-2019-201-35,tongue,35,1205,TONGUE
Sawka-2019-201-36,tooth,36,1380,TOOTH
Sawka-2019-201-37,voice,37,1363,VOICE
Sawka-2019-201-38,wing,38,1257,WING
Sawka-2019-201-39,one,39,1493,ONE
Sawka-2019-201-40,two,40,1498,TWO
Sawka-2019-201-41,three,41,492,THREE
Sawka-2019-201-42,four,42,1500,FOUR
Sawka-2019-201-43,five,43,493,FIVE
Sawka-2019-201-44,six,44,1703,SIX
Sawka-2019-201-45,seven,45,1704,SEVEN
Sawka-2019-201-46,eight,46,1705,EIGHT
Sawka-2019-201-47,nine,47,1483,NINE
Sawka-2019-201-48,ten,48,1515,TEN
Sawka-2019-201-49,few,49,1242,FEW
Sawka-2019-201-50,many,50,1198,MANY
Sawka-2019-201-51,bee,51,665,BEE
Sawka-2019-201-52,bird,52,937,BIRD
Sawka-2019-201-53,buffalo,53,934,BUFFALO
Sawka-2019-201-54,cat,54,1208,CAT
Sawka-2019-201-55,crocodile,55,1857,CROCODILE
Sawka-2019-201-56,dog,56,2009,DOG
Sawka-2019-201-57,elephant,57,1290,ELEPHANT
Sawka-2019-201-58,fish,58,227,FISH
Sawka-2019-201-59,goat,59,1502,GOAT
Sawka-2019-201-60,head louse,60,310,HEAD LOUSE
Sawka-2019-201-61,hippo,61,3145,HIPPOPOTAMUS
Sawka-2019-201-62,lion,62,1386,LION
Sawka-2019-201-63,rhino,63,2591,RHINOCEROS
Sawka-2019-201-64,snake,64,730,SNAKE
Sawka-2019-201-65,spider,65,843,SPIDER
Sawka-2019-201-66,wild animal,66,958,WILD ANIMAL
Sawka-2019-201-67,bull,67,1008,BULL
Sawka-2019-201-68,calf,68,1989,CALF
Sawka-2019-201-69,cow,69,1007,COW
Sawka-2019-201-70,chicken,70,1318,CHICKEN
Sawka-2019-201-71,cock,71,1511,ROOSTER
Sawka-2019-201-72,arrow,72,977,ARROW
Sawka-2019-201-73,ash,73,646,ASH
Sawka-2019-201-74,axe,74,677,AXE
Sawka-2019-201-75,bark (of tree),75,1204,BARK
Sawka-2019-201-76,burden,76,1679,LOAD
Sawka-2019-201-77,chair,77,1476,CHAIR
Sawka-2019-201-78,cloud,78,1489,CLOUD
Sawka-2019-201-79,cooking pot,79,3653,COOKING POT
Sawka-2019-201-80,darkness,80,11,DARKNESS
Sawka-2019-201-81,day time,81,1225,DAY (NOT NIGHT)
Sawka-2019-201-82,dew,82,1977,DEW
Sawka-2019-201-83,dust,83,2,DUST
Sawka-2019-201-84,earth,84,1228,EARTH (SOIL)
Sawka-2019-201-85,egg,85,744,EGG
Sawka-2019-201-86,feather,86,1201,FEATHER
Sawka-2019-201-87,field,87,212,FIELD
Sawka-2019-201-88,finger millet,88,3265,FINGER MILLET
Sawka-2019-201-89,fire,89,221,FIRE
Sawka-2019-201-90,firewood,90,10,FIREWOOD
Sawka-2019-201-91,flower,91,239,FLOWER
Sawka-2019-201-92,grass,92,606,GRASS
Sawka-2019-201-93,hardship,93,,
Sawka-2019-201-94,hoe,94,284,HOE
Sawka-2019-201-95,hole,95,1667,HOLE
Sawka-2019-201-96,honey,96,942,HONEY
Sawka-2019-201-97,house,97,1252,HOUSE
Sawka-2019-201-98,hunger,98,1864,HUNGER
Sawka-2019-201-99,iron,99,621,IRON
Sawka-2019-201-100,knife,100,1352,KNIFE
Sawka-2019-201-101,knot,101,760,KNOT
Sawka-2019-201-102,lake,102,624,LAKE
Sawka-2019-201-103,light,103,630,LIGHT (RADIATION)
Sawka-2019-201-104,meat,104,634,MEAT
Sawka-2019-201-105,medicine,105,1372,MEDICINE
Sawka-2019-201-106,milk,106,635,MILK
Sawka-2019-201-107,month,107,1370,MONTH
Sawka-2019-201-108,moon,108,1313,MOON
Sawka-2019-201-109,mountain,109,639,MOUNTAIN
Sawka-2019-201-110,mourning - sadness,110,3673,MOURNING
Sawka-2019-201-111,name,111,1405,NAME
Sawka-2019-201-112,night,112,1233,NIGHT
Sawka-2019-201-113,path,113,2252,PATH
Sawka-2019-201-114,porridge,114,1167,GRUEL
Sawka-2019-201-115,rain,115,658,RAIN (PRECIPITATION)
Sawka-2019-201-116,river,116,666,RIVER
Sawka-2019-201-117,root,117,670,ROOT
Sawka-2019-201-118,rope,118,1218,ROPE
Sawka-2019-201-119,salt,119,1274,SALT
Sawka-2019-201-120,sand,120,671,SAND
Sawka-2019-201-121,seed,121,714,SEED
Sawka-2019-201-122,shade,122,1388,SHADE
Sawka-2019-201-123,sickness,123,1986,DISEASE
Sawka-2019-201-124,sky,124,1732,SKY
Sawka-2019-201-125,smoke,125,778,SMOKE (EXHAUST)
Sawka-2019-201-126,spear,126,945,SPEAR
Sawka-2019-201-127,star,127,1430,STAR
Sawka-2019-201-128,stone,128,857,STONE
Sawka-2019-201-129,stool,129,2058,STOOL
Sawka-2019-201-130,sun,130,1343,SUN
Sawka-2019-201-131,thing,131,738,THING
Sawka-2019-201-132,thirst,132,848,THIRST
Sawka-2019-201-133,thorn,133,124,THORN
Sawka-2019-201-134,thread,134,1161,THREAD
Sawka-2019-201-135,today,135,1283,TODAY
Sawka-2019-201-136,tomorrow,136,1329,TOMORROW
Sawka-2019-201-137,utensil,137,,
Sawka-2019-201-138,village,138,930,VILLAGE
Sawka-2019-201-139,walking stick,139,1296,WALKING STICK
Sawka-2019-201-140,wall,140,,
Sawka-2019-201-141,war,141,935,WAR
