ID,ENGLISH,NUMBER,CONCEPTICON_ID,CONCEPTICON_GLOSS
Sawka-2019-201-142,water,142,948,WATER
Sawka-2019-201-143,what,143,1236,WHAT
Sawka-2019-201-144,wind [noun],144,960,WIND
Sawka-2019-201-145,year,145,1226,YEAR
Sawka-2019-201-146,yesterday,146,1174,YESTERDAY
Sawka-2019-201-147,big knife,147,,
Sawka-2019-201-148,branch,148,1531,BRANCH
Sawka-2019-201-149,leaf,149,628,LEAF
Sawka-2019-201-150,tree,150,906,TREE
Sawka-2019-201-151,sit,151,1416,SIT
Sawka-2019-201-152,brother,152,1262,BROTHER
Sawka-2019-201-153,brother-younger,153,1760,YOUNGER BROTHER
Sawka-2019-201-154,brother-older,154,1759,OLDER BROTHER
Sawka-2019-201-155,chief,155,301,CHIEFTAIN
Sawka-2019-201-156,child,156,2099,CHILD
Sawka-2019-201-157,daughter,157,1357,DAUGHTER
Sawka-2019-201-158,enemy,158,1358,ENEMY
Sawka-2019-201-159,father,159,1217,FATHER
Sawka-2019-201-160,God,160,3231,DEITY
Sawka-2019-201-161,husband,161,1200,HUSBAND
Sawka-2019-201-162,man,162,1554,MAN
Sawka-2019-201-163,mother,163,1216,MOTHER
Sawka-2019-201-164,mother's brother,164,2692,MATERNAL UNCLE (MOTHER'S BROTHER)
Sawka-2019-201-165,person,165,683,PERSON
Sawka-2019-201-166,son,166,1620,SON
Sawka-2019-201-167,twins,167,1005,TWINS
Sawka-2019-201-168,who,168,1235,WHO
Sawka-2019-201-169,wife,169,1199,WIFE
Sawka-2019-201-170,woman,170,962,WOMAN
Sawka-2019-201-171,bad,171,1292,BAD
Sawka-2019-201-172,big,172,1202,BIG
Sawka-2019-201-173,black,173,163,BLACK
Sawka-2019-201-174,cold,174,1287,COLD
Sawka-2019-201-175,difficult,175,584,DIFFICULT
Sawka-2019-201-176,dirty,176,1230,DIRTY
Sawka-2019-201-177,dry,177,1398,DRY
Sawka-2019-201-178,dull,178,379,BLUNT
Sawka-2019-201-179,easy,179,686,EASY
Sawka-2019-201-180,full,180,1429,FULL
Sawka-2019-201-181,good,181,1035,GOOD
Sawka-2019-201-182,heavy,182,1210,HEAVY
Sawka-2019-201-183,hot,183,1286,HOT
Sawka-2019-201-184,long,184,1203,LONG
Sawka-2019-201-185,narrow,185,1267,NARROW
Sawka-2019-201-186,new,186,1231,NEW
Sawka-2019-201-187,red,187,156,RED
Sawka-2019-201-188,rotten,188,1728,ROTTEN
Sawka-2019-201-189,sharp,189,1396,SHARP
Sawka-2019-201-190,short,190,1645,SHORT
Sawka-2019-201-191,small,191,1246,SMALL
Sawka-2019-201-192,wet,192,1726,WET
Sawka-2019-201-193,white,193,1335,WHITE
Sawka-2019-201-194,wide,194,1243,WIDE
Sawka-2019-201-195,far,195,1406,FAR
Sawka-2019-201-196,inside,196,1606,INSIDE
Sawka-2019-201-197,near,197,1942,NEAR
Sawka-2019-201-198,outside,198,762,OUTSIDE
Sawka-2019-201-199,leftside,199,244,LEFT
Sawka-2019-201-200,rightside,200,1019,RIGHT
Sawka-2019-201-201,why,201,1270,WHY
